ID,Numero_Indicacao,Ano,Sessao,Data_Sessao,Vereador,Resumo,Setor,Oficio_Resposta,Status_Atendimento,Observacoes
IND-011,011,2026,45ª Sessão Ordinária da 19ª Legislatura,2026-02-09,Anderson Marcos Viana,"Solicita a transferência do circuito utilizado para aulas e exames práticos de direção das autoescolas, atualmente realizado nas ruas próximas ao Lar Sant'Antônio, para a Avenida Edivirges Ana Aparecida Trevisan, no bairro Fontes, visando segurança e fluidez do trânsito.",Educação,,Pendente de Análise,
IND-012,012,2026,45ª Sessão Ordinária da 19ª Legislatura,2026-02-09,"Anderson Marcos Viana, Edvaldo Aparecido Carvalho","Solicita levantamento do estado de conservação do mobiliário escolar (carteiras e cadeiras) em todas as unidades de ensino da rede municipal, com elaboração de orçamento para substituição dos itens danificados.",Saúde,,Pendente de Análise,
IND-013,013,2026,45ª Sessão Ordinária da 19ª Legislatura,2026-02-09,Reinaldo Codognato,"Solicita a impermeabilização das estradas rurais do município com asfalto ecológico, ao menos em caráter experimental nas vias de maior vulnerabilidade, para reduzir barro, poeira e custos de manutenção.",Obras e Serviços Públicos,,Pendente de Análise,
IND-014,014,2026,45ª Sessão Ordinária da 19ª Legislatura,2026-02-09,"Reinaldo Codognato, Edvaldo Aparecido Carvalho","Solicita reparos urgentes ou substituição dos bancos e mesas de concreto/azulejo danificados na Praça do Cristo Redentor, além de vistoria geral em todos os parques e praças da cidade para identificar mobiliário em risco.",Saúde,,Pendente de Análise,
IND-015,015,2026,45ª Sessão Ordinária da 19ª Legislatura,2026-02-09,Reinaldo Codognato,"Solicita a ampliação do número de câmeras de segurança instaladas no município e a substituição/modernização dos DVRs, atendendo a pedido da delegacia de polícia civil para melhorar o monitoramento urbano.",Saúde,,Pendente de Análise,
IND-016,016,2026,45ª Sessão Ordinária da 19ª Legislatura,2026-02-09,Edvaldo Aparecido Carvalho,"Solicita a implantação de uma lombada na Alameda Horto dos Seringais, nas imediações do número 635, devido a relatos de excesso de velocidade dos veículos que trafegam pelo local.",Trânsito e Mobilidade,,Pendente de Análise,
IND-017,017,2026,45ª Sessão Ordinária da 19ª Legislatura,2026-02-09,"Teresinha de Lourdes Freitas Regodanso, Adriano de Marcos Lopes","Solicita a execução de serviço de limpeza geral e manutenção nas dependências do cemitério municipal, além da elaboração de projeto para construção de banheiros públicos (feminino e masculino) no local.",Obras e Serviços Públicos,,Pendente de Análise,
IND-018,018,2026,46ª Sessão Ordinária da 19ª Legislatura,2026-02-18,"Reinaldo Codognato, Anderson Marcos Viana, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino","Solicita a destinação de recursos anuais para substituição preventiva dos encanamentos antigos da rede de água do município, revisão da rota de bombeamento de esgoto (bairro Jardim dos Pássaros) e limpeza das estações de tratamento de esgoto, com atenção especial às lagoas do matadouro e do carreiro.",Saúde,,Pendente de Análise,
IND-019,019,2026,46ª Sessão Ordinária da 19ª Legislatura,2026-02-18,Reinaldo Codognato,"Solicita o retorno imediato das aulas de skate, com planejamento de aumento na quantidade de dias da semana e mais horários disponíveis para atender a demanda crescente.",Esporte e Lazer,,Pendente de Análise,
IND-020,020,2026,46ª Sessão Ordinária da 19ª Legislatura,2026-02-18,Reinaldo Codognato,"Solicita a promoção de ações de conscientização e educação para o trânsito voltadas aos condutores de bicicletas elétricas, abordando regras de circulação, uso de equipamentos de segurança e boas práticas, devido ao aumento de acidentes envolvendo esses veículos.",Educação,,Pendente de Análise,
IND-021,021,2026,46ª Sessão Ordinária da 19ª Legislatura,2026-02-18,Reinaldo Codognato,"Solicita a construção de calçada em rua do bairro Jardim Morumbi, interligando aos bairros Residencial das Américas e Jardim Paulista, visando mais segurança e acessibilidade para pedestres.",Obras e Serviços Públicos,,Pendente de Análise,Nome da rua citada na transcrição ('Rua Santos do Mão') está provavelmente incorreto/incompleto por erro de transcrição por voz — checar o nome exato da via junto à Secretaria da Câmara.
IND-022,022,2026,46ª Sessão Ordinária da 19ª Legislatura,2026-02-18,Renato Vieira de Brito,"Solicita a instalação de placas de orientação turística e de trânsito indicando o trajeto para o bosque municipal, especialmente na entrada da cidade e principais vias de acesso, após reclamações de visitantes sobre dificuldade em localizar o local.",Trânsito e Mobilidade,,Pendente de Análise,
IND-023,023,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita a implementação de uma área de lazer com aparelhos de ginástica e brinquedos para crianças nas proximidades ou dentro do estádio municipal Rafael Capelli, repondo estrutura semelhante que existia no local e foi retirada pelo desgaste do tempo.",Esporte e Lazer,,Pendente de Análise,
IND-024,024,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,Bruno Herreira,"Solicita manutenção corretiva e substituição dos aparelhos danificados ou inservíveis na Praça Moacir Antônio, no trecho conhecido como Curva do S.",Saúde,,Pendente de Análise,
IND-025,025,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,"Reinaldo Codognato, Anderson Marcos Viana, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Renato Vieira de Brito, Samir Edson Tino","Solicita a revitalização da Praça do Centenário, com atenção à qualidade do solo, além da instalação de câmeras de monitoramento e rede Wi-Fi gratuita no local.",Meio Ambiente,,Pendente de Análise,
IND-026,026,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,Reinaldo Codognato,"Solicita providências definitivas quanto ao direcionamento e escoamento correto das águas pluviais no residencial Recanto dos Eucaliptos, evitando alagamentos e danos a terrenos e estruturas.",A Classificar,,Pendente de Análise,
IND-027,027,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita a construção de uma sede própria e definitiva para o Centro de Referência de Assistência Social (CRAS), garantindo espaço físico mais adequado, acessível e humanizado.",Obras e Serviços Públicos,,Pendente de Análise,
IND-028,028,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,Samir Edson Tino,"Solicita a instalação de bebedouros de água potável e acessíveis nas principais praças públicas de Junqueirópolis, para atender crianças, jovens e trabalhadores que frequentam esses espaços.",Meio Ambiente,,Pendente de Análise,
IND-029,029,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,Samir Edson Tino,"Solicita a elaboração de projeto para construção de boxes comerciais padronizados na calçada da Avenida 7 de Setembro, ao lado do barracão do Recinto da Seruva, visando fomentar a economia local e a geração de empregos.",Obras e Serviços Públicos,,Pendente de Análise,
IND-030,030,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,Anderson Marcos Viana,"Solicita que, a partir de julho, seja iniciado o planejamento dos processos de contratação e organização das decorações e festividades de final de ano, com levantamento de decoradores locais para que editais e contratações contemplem múltiplos profissionais do município.",A Classificar,,Pendente de Análise,
IND-031,031,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,Reinaldo Codognato,"Solicita a concessão aos servidores públicos municipais do direito a uma falta remunerada no dia do próprio aniversário, sem desconto em folha de pagamento.",Administração e Finanças,,Pendente de Análise,
IND-032,032,2026,47ª Sessão Ordinária da 19ª Legislatura,2026-02-23,"Samir Edson Tino, Bruno Herreira",Solicita a implementação de aparelhos de ar-condicionado nas salas destinadas a microcirurgias e pequenos procedimentos em todas as Estratégias de Saúde da Família (ESFs) do município que ainda não contam com o equipamento.,Saúde,,Pendente de Análise,
IND-033,033,2026,48ª Sessão Ordinária da 19ª Legislatura,2026-03-02,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita a instalação de parques infantis (playgrounds) equipados com brinquedos seguros e adequados em áreas públicas dos bairros Jardim Alvorada, Figueira, Jardim Fuentes, Vale do Sol e Cristo Redentor.",Meio Ambiente,,Pendente de Análise,
IND-034,034,2026,48ª Sessão Ordinária da 19ª Legislatura,2026-03-02,Anderson Marcos Viana,"Solicita a alteração dos critérios da comissão responsável pela concessão de áreas e terrenos industriais e comerciais do município, incluindo pontuação adicional no processo seletivo para empresas filiadas à Associação Comercial e Empresarial de Junqueirópolis há pelo menos um ano.",A Classificar,,Pendente de Análise,
IND-035,035,2026,48ª Sessão Ordinária da 19ª Legislatura,2026-03-02,Anderson Marcos Viana,"Solicita a implantação de um ponto de ônibus no bairro Horto dos Seringais, no final da via de acesso principal, atendendo moradores (inclusive idosos e crianças) que hoje precisam caminhar longas distâncias até o ponto mais próximo.",Trânsito e Mobilidade,,Pendente de Análise,
IND-036,036,2026,48ª Sessão Ordinária da 19ª Legislatura,2026-03-02,Anderson Marcos Viana,"Solicita manutenção e adequação do campo de futebol do bairro Residencial das Américas, incluindo passagem de rolo compressor para nivelamento do terreno e redistribuição dos aparelhos de academia ao ar livre, hoje concentrados na esquina, para a parte de baixo do campo.",Esporte e Lazer,,Pendente de Análise,
IND-037,037,2026,48ª Sessão Ordinária da 19ª Legislatura,2026-03-02,Reinaldo Codognato,"Solicita a implantação de medidas de segurança viária (redutores de velocidade, lombadas, faixas elevadas ou reforço de sinalização) nas proximidades do ponto de ônibus do bairro Pioneiros, estendendo as mesmas ações a todos os pontos de embarque/desembarque de ônibus da cidade.",Trânsito e Mobilidade,,Pendente de Análise,
IND-038,038,2026,48ª Sessão Ordinária da 19ª Legislatura,2026-03-02,Bruno Herreira,"Solicita a realização de uma reforma geral nas instalações do Centro Comunitário do bairro Jardim Primavera, atendendo reivindicação constante dos moradores.",Obras e Serviços Públicos,,Pendente de Análise,
IND-039,039,2026,49ª Sessão Ordinária da 19ª Legislatura,2026-03-09,Reinaldo Codognato,"Solicita impermeabilização e tratamento do piso da quadra de esportes do Jardim Alvorada, cujo piso de concreto está áspero e desgastado, causando machucados e cortes em usuários.",Meio Ambiente,,Pendente de Análise,
IND-040,040,2026,49ª Sessão Ordinária da 19ª Legislatura,2026-03-09,"Teresinha de Lourdes Freitas Regodanso, Adriano de Marcos Lopes","Solicita a implantação de uma central de monitoramento para acompanhamento em tempo real das imagens das câmeras instaladas em praças e pontos públicos, além da ampliação do sistema com novas câmeras em locais estratégicos.",Meio Ambiente,,Pendente de Análise,
IND-041,041,2026,49ª Sessão Ordinária da 19ª Legislatura,2026-03-09,Bruno Herreira,"Solicita recapeamento asfáltico em toda a extensão da Rua São Paulo, entre a Rua Independência e a Rua José Bonifácio, via de intenso movimento e um dos principais acessos à Escola Estadual Professor Hidênio Rodrigues dos Santos.",Educação,,Pendente de Análise,
IND-042,042,2026,49ª Sessão Ordinária da 19ª Legislatura,2026-03-09,Samir Edson Tino,"Solicita a implantação do projeto ""Praça do Autista"" no município, prevendo brinquedos adaptados, equipamentos de estímulo sensorial, pisos acessíveis e sinalização inclusiva, em novos espaços ou adaptando praças e parques infantis já existentes.",Trânsito e Mobilidade,,Pendente de Análise,
IND-043,043,2026,49ª Sessão Ordinária da 19ª Legislatura,2026-03-09,Reinaldo Codognato,"Solicita melhorias na estrada rural JQL-050, que liga Junqueirópolis a Ribeirão dos Índios, atendendo produtores rurais, moradores das propriedades adjacentes e motoristas que utilizam a via diariamente.",Obras e Serviços Públicos,,Pendente de Análise,
IND-044,044,2026,49ª Sessão Ordinária da 19ª Legislatura,2026-03-09,Anderson Marcos Viana,"Solicita a adoção de medidas para solucionar o problema de escoamento de águas pluviais na Rua Chile, especificamente no cruzamento que dá acesso à entrada do bairro Residencial das Américas.",A Classificar,,Pendente de Análise,
IND-045,045,2026,49ª Sessão Ordinária da 19ª Legislatura,2026-03-09,Anderson Marcos Viana,"Solicita a terceirização parcial ou contratação emergencial de empresas do próprio município, com caminhões e maquinário, para dar apoio logístico ao programa ""Limpeza e Beleza"", reduzindo a demanda reprimida de recolhimento de materiais nas ruas.",A Classificar,,Pendente de Análise,"No resumo do Expediente (leitura inicial), as indicações 044 e 045 foram lidas com o mesmo texto (escoamento de águas pluviais na Rua Chile), o que é um erro de transcrição/leitura — o texto integral, lido mais adiante e usado aqui, confirma que a indicação 045 trata do apoio ao programa Limpeza e Beleza, tema distinto da 044."
IND-046,046,2026,50ª Sessão Ordinária da 19ª Legislatura (dedução; sessão não identificada no arquivo),2026-03-16,Reinaldo Codognato,"Solicita a instalação de bancos em espaços de convivência pública, com pedido específico para o bairro Delta Ville II.",A Classificar,,Pendente de Análise,"O arquivo de transcrição desta sessão (2026-03-16_sessao.txt) começa no meio da sessão, sem a verificação de presença, leitura do expediente/resumo nem a leitura do texto integral das indicações. O número da sessão ordinária não pôde ser confirmado no texto (a sessão anterior, de 09/03, foi a 49ª; por sequência lógica seria a 50ª, mas isso não está explícito no arquivo). Os dados desta indicação foram reconstruídos a partir de menção feita pelo próprio vereador Reinaldo Codognato durante as explicações pessoais, não do texto formal da indicação. Vale conferir a íntegra desta indicação diretamente na Câmara Municipal."
IND-047,047,2026,50ª Sessão Ordinária da 19ª Legislatura (dedução; sessão não identificada no arquivo),2026-03-16,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso",Solicita a construção de um ponto de ônibus com cobertura nas proximidades da Prefeitura Municipal.,Trânsito e Mobilidade,,Pendente de Análise,"O arquivo de transcrição desta sessão (2026-03-16_sessao.txt) começa no meio da sessão, sem a verificação de presença, leitura do expediente/resumo nem a leitura do texto integral das indicações. O número da sessão ordinária não pôde ser confirmado no texto. Os dados desta indicação foram reconstruídos a partir de menção feita pela própria vereadora Teresinha de Lourdes Freitas Regodanso durante as explicações pessoais, não do texto formal da indicação. Vale conferir a íntegra desta indicação diretamente na Câmara Municipal."
IND-048,048,2026,50ª Sessão Ordinária da 19ª Legislatura (dedução; sessão não identificada no arquivo),2026-03-16,Teresinha de Lourdes Freitas Regodanso,"Solicita a realização de benfeitorias na quadra de esportes do Centro de Convivência do Idoso (CCI): impermeabilização e conserto do piso, reparo da parte elétrica/iluminação e fechamento com alambrado (inclusive para evitar a presença de pombos).",Esporte e Lazer,,Pendente de Análise,"O arquivo de transcrição desta sessão (2026-03-16_sessao.txt) começa no meio da sessão, sem a verificação de presença, leitura do expediente/resumo nem a leitura do texto integral das indicações. O número da sessão ordinária não pôde ser confirmado no texto. A autoria exata (se só da vereadora Teresinha ou também do vereador Adriano, como na indicação 047) não pôde ser confirmada com certeza a partir da fala da vereadora (""a gente pede""). Os dados desta indicação foram reconstruídos a partir de menção feita durante as explicações pessoais, não do texto formal da indicação. Vale conferir a íntegra desta indicação diretamente na Câmara Municipal."
IND-049,052,2026,51ª Sessão Ordinária da 19ª Legislatura,2026-03-23,Bruno Herreira,"Solicita a instalação de lixeiras adequadas na praça localizada em frente ao pesqueiro Berrocoso, pois atualmente não há recipientes para descarte de resíduos no local, o que tem gerado acúmulo de lixo no chão.",Meio Ambiente,,Pendente de Análise,
IND-050,053,2026,51ª Sessão Ordinária da 19ª Legislatura,2026-03-23,Renato Vieira de Brito,"Solicita a formalização de parceria e repasse financeiro para apoiar institucionalmente a Associação Junqueiropolense Amor e Vida (AJAVE), além da criação de um programa municipal de auxílio-alimentação (cesta básica reforçada ou cartão alimentação) exclusivo para munícipes comprovadamente em tratamento oncológico.",A Classificar,,Pendente de Análise,
IND-051,054,2026,51ª Sessão Ordinária da 19ª Legislatura,2026-03-23,Renato Vieira de Brito,"Solicita a implantação de um sistema de plantão na farmácia municipal aos sábados, domingos e feriados, garantindo a presença de ao menos um servidor para a dispensação de medicamentos essenciais e de urgência.",Saúde,,Pendente de Análise,
IND-052,055,2026,51ª Sessão Ordinária da 19ª Legislatura,2026-03-23,Renato Vieira de Brito,"Solicita obras de reforma geral e modernização nas instalações do vestiário do estádio municipal Rafael Capelli, para atender esportistas e equipes amadoras e profissionais que utilizam o local para treinamentos e competições.",Obras e Serviços Públicos,,Pendente de Análise,
IND-053,056,2026,51ª Sessão Ordinária da 19ª Legislatura,2026-03-23,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita serviços de manutenção estrutural e conservação na ponte do Polão (ligação de Junqueirópolis a Ribeirão dos Índios) e na ponte Nova Marilha (ligação com Irapuru), estruturas essenciais para o escoamento da produção agrícola e mobilidade de produtores e moradores.",Trânsito e Mobilidade,,Pendente de Análise,
IND-054,057,2026,51ª Sessão Ordinária da 19ª Legislatura,2026-03-23,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita, no âmbito do Programa Melhor Caminho, a adequação, nivelamento e conservação da estrada municipal JQL-347, no trecho de continuidade próximo ao depósito de galhos do município, atendendo produtores rurais e motoristas que dependem da via.",A Classificar,,Pendente de Análise,
IND-055,058,2026,51ª Sessão Ordinária da 19ª Legislatura,2026-03-23,"Teresinha de Lourdes Freitas Regodanso, Adriano de Marcos Lopes","Solicita recapeamento asfáltico em dois pontos da cidade: na Rua Tiradentes, entre a Rua Sete de Setembro e a Rua Bandeirantes, e na Rua Campos Salles, próximo à Escola Jair e à Escola Idene.",Educação,,Pendente de Análise,
IND-056,059,2026,52ª Sessão Ordinária da 19ª Legislatura,2026-03-30,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita a execução de serviços urgentes de manutenção e reparo na cobertura do Dojo Municipal (Academia de Judô), para sanar problemas de goteiras e vazamentos sobre os tatames.",A Classificar,,Pendente de Análise,
IND-057,060,2026,52ª Sessão Ordinária da 19ª Legislatura,2026-03-30,Reinaldo Codognato,"Solicita a criação de um cronograma de ações e atividades culturais periódicas integrando músicos do Clube da Viola e alunos do Projeto Guri, visando a valorização e preservação da música sertaneja e da cultura caipira.",Educação,,Pendente de Análise,
IND-058,061,2026,52ª Sessão Ordinária da 19ª Legislatura,2026-03-30,Reinaldo Codognato,"Solicita a adequação do Clube da Viola: instalação de rede de internet Wi-Fi, pintura do logotipo em destaque na fachada, implantação de sistema de iluminação externa do portão de entrada até o prédio principal e realização de serviços de manutenção geral.",A Classificar,,Pendente de Análise,
IND-059,062,2026,52ª Sessão Ordinária da 19ª Legislatura,2026-03-30,Anderson Marcos Viana,"Solicita a instalação de mais mesas com bancos e a implantação de um bebedouro de água gelada nas dependências da Praça Cristo Redentor, para oferecer maior conforto aos munícipes que frequentam o local.",Meio Ambiente,,Pendente de Análise,
IND-060,063,2026,53ª Sessão Ordinária da 19ª Legislatura,2026-04-06,Reinaldo Codognato,"Solicita obras para construção de banheiros e de um pequeno vestiário no complexo esportivo do bairro Alto do Cene, atendendo pedido da comunidade após a formação de um time esportivo local.",Obras e Serviços Públicos,,Pendente de Análise,
IND-061,064,2026,53ª Sessão Ordinária da 19ª Legislatura,2026-04-06,Reinaldo Codognato,"Solicita a denominação oficial de ""Sandra Gonçalves Amaral"" para a Academia ao Ar Livre instalada no bairro Duas Barras, em homenagem a uma das pioneiras do bairro.",Esporte e Lazer,,Pendente de Análise,
IND-062,065,2026,53ª Sessão Ordinária da 19ª Legislatura,2026-04-06,Reinaldo Codognato,"Solicita a substituição das antigas lâmpadas de vapor de sódio por luminárias de tecnologia LED no cruzamento da Rua Nazareno Cedrone com a Rua Augusto Escoza Nogueira, além da continuidade e expansão desse programa de modernização para as demais ruas do município.",Saúde,,Pendente de Análise,
IND-063,066,2026,53ª Sessão Ordinária da 19ª Legislatura,2026-04-06,"Adriano de Marcos Lopes, Teresinha de Lourdes Freitas Regodanso","Solicita a instalação de bancos, lixeiras e playground nas proximidades da área verde localizada no bairro Frei Galvão, atendendo pedidos de moradores por melhorias na infraestrutura de lazer e convivência.",Meio Ambiente,,Pendente de Análise,
IND-064,067,2026,53ª Sessão Ordinária da 19ª Legislatura,2026-04-06,Anderson Marcos Viana,"Solicita a disponibilização de um veículo de grande porte ou condução adequada exclusivamente para coleta de folhas varridas na cidade, bem como a elaboração de um cronograma oficial de recolhimento duas vezes por semana em todos os bairros.",A Classificar,,Pendente de Análise,
IND-065,068,2026,53ª Sessão Ordinária da 19ª Legislatura,2026-04-06,Anderson Marcos Viana,"Solicita a implantação de lombofaixas (faixas de pedestre elevadas) em dois pontos: na Avenida Bandeirantes, em frente à Escola Municipal Professor Shigeko Otoyuaki, e na Rua Washington Luiz, na lateral da mesma escola, para garantir a segurança dos alunos e da comunidade escolar.",Educação,,Pendente de Análise,
IND-066,069,2026,53ª Sessão Ordinária da 19ª Legislatura,2026-04-06,Renato Vieira de Brito,"Solicita a implantação de um redutor de velocidade (lombada) na Avenida Campo Salles, no trecho entre a Escola Estadual Professor Idene Rodrigues dos Santos e a Escola Municipal Jair Luiz da Silva, área de intenso fluxo de crianças, pais e veículos escolares.",Educação,,Pendente de Análise,
IND-067,070,2026,54ª Sessão Ordinária da 19ª Legislatura,2026-04-13,Bruno Herreira,"Solicita a instalação de no mínimo duas lixeiras no entorno do playground situado no bairro Delta Ville 2, visando garantir a limpeza, conservação e higiene do espaço de convivência das famílias do bairro.",Esporte e Lazer,,Pendente de Análise,
IND-068,071,2026,54ª Sessão Ordinária da 19ª Legislatura,2026-04-13,"Bruno Herreira, Elizeu Adriano","Solicita a realização de um mutirão geral de limpeza pública, contemplando de forma intensiva os serviços de varrição, capinação, roçada e recolhimento de galhos e entulhos em ruas, calçadas, praças, áreas verdes e terrenos públicos do município.",Obras e Serviços Públicos,,Pendente de Análise,
IND-069,072,2026,54ª Sessão Ordinária da 19ª Legislatura,2026-04-13,"Bruno Herreira, Elizeu Adriano","Solicita a execução de obras e serviços para adequação do sistema de iluminação pública em toda a extensão da praça situada no bairro Cristo Redentor, visando garantir segurança, lazer e bem-estar aos moradores.",Obras e Serviços Públicos,,Pendente de Análise,
IND-070,073,2026,54ª Sessão Ordinária da 19ª Legislatura,2026-04-13,Bruno Herreira,"Solicita que servidores públicos municipais possam utilizar os créditos decorrentes dos valores retroativos do projeto de descongelamento do tempo de serviço para compensação e pagamento de contas de água e tributos municipais (IPTU e taxas), sejam eles em débito, atraso ou a vencer.",Administração e Finanças,,Pendente de Análise,
IND-071,074,2026,54ª Sessão Ordinária da 19ª Legislatura,2026-04-13,Anderson Marcos Viana,"Solicita o cumprimento da Portaria MTE nº 2021, de 3 de dezembro de 2025, disponibilizando de forma obrigatória, fácil e irrestrita os laudos técnicos caracterizadores de insalubridade a todos os trabalhadores do quadro municipal e aos sindicatos representantes das respectivas categorias profissionais.",A Classificar,,Pendente de Análise,
IND-072,075,2026,54ª Sessão Ordinária da 19ª Legislatura,2026-04-13,"Teresinha de Lourdes Freitas Regodanso, Adriano de Marcos Lopes, Samir Edson Tino","Solicita a celebração de convênio junto ao Consórcio Intermunicipal de Saúde da Nova Alta Paulista (CISNAP) com o objetivo de custear e disponibilizar sessões gratuitas de equoterapia para crianças, jovens e adultos do município diagnosticados com transtorno do espectro autista (TEA).",Saúde,,Pendente de Análise,
IND-073,076,2026,55ª Sessão Ordinária da 19ª Legislatura,2026-04-22,Reinaldo Codognato,"Solicita estudo para implantar um redutor de velocidade (lombada) na Avenida João Furino, especialmente nas proximidades do estabelecimento Bifê Imaginação, via de intenso fluxo de veículos que dá acesso a diversos bairros.",Trânsito e Mobilidade,,Pendente de Análise,
IND-074,077,2026,55ª Sessão Ordinária da 19ª Legislatura,2026-04-22,Reinaldo Codognato,"Solicita estudo para identificar o local mais adequado e implantar um redutor de velocidade na Rua General Costa e Silva, no bairro residencial Trindade, via principal de acesso do bairro com fluxo intenso de carros e motocicletas.",Trânsito e Mobilidade,,Pendente de Análise,
IND-075,078,2026,55ª Sessão Ordinária da 19ª Legislatura,2026-04-22,"Samir Edson Tino, Renato Vieira de Brito","Solicita reforma geral e reestruturação dos vestiários do estádio municipal Rafael Capelli, incluindo construção de banheiro exclusivo para funcionários, uma sala administrativa e uma cobertura para abrigar o trator de manutenção do campo.",Obras e Serviços Públicos,,Pendente de Análise,
IND-076,079,2026,56ª Sessão Ordinária da 19ª Legislatura,2026-04-27,Reinaldo Codognato,"Solicita melhorias no sistema de iluminação, com instalação de refletores adequados, no campo de futebol do bairro Carmezinho I, a pedido de moradores e esportistas locais.",Esporte e Lazer,,Pendente de Análise,
IND-077,080,2026,56ª Sessão Ordinária da 19ª Legislatura,2026-04-27,Reinaldo Codognato,"Solicita a construção de uma quadra esportiva na modalidade basquete 3x3 em área pública estratégica que atenda os bairros Jardim Paulista, Jardim Esperança, Américas e adjacências.",Obras e Serviços Públicos,,Pendente de Análise,
