ID,Ano,Sessao,Data_Sessao,Vereador,Resumo,Direcionada_A,Tipo,Status_Acompanhamento,Observacoes
DEN-015,2022,63ª Sessão Ordinária da 18ª Legislatura,2022-06-27,"Anderson Marcos Viana, Marisa Alves da Silva Costa, Paulo Sérgio Cordeiro","Relatório final da Comissão de Obras, Serviços Públicos e Atividades Privadas da Câmara sobre o processo de ouvidoria nº 03/2021, referente a denúncia apresentada pelo cidadão José Antônio Árabe Henrique sobre suposto uso indevido, pela Prefeitura, do leito e dos trilhos da linha férrea (área da concessionária Rumo Malha Paulista S.A.), incluindo remoção de trilhos, construção de bancos, gramados, pergolados, academia ao ar livre, pista de caminhada em concreto e passarelas, sem autorização da concessionária. A comissão concluiu haver indícios de investimento irregular de recursos públicos em área de faixa de domínio da concessionária e recomendou o encaminhamento de cópia do relatório final e do processo integral ao Tribunal de Contas do Estado de São Paulo e ao Ministério Público para apuração e eventual responsabilização.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Relatada em documento/ofício,Pendente de Verificação,"Denúncia original protocolada em 2021 (processo aberto em 19/07/2021); o relatório final da comissão foi lido e constou do expediente desta sessão (27/06/2022). Vereadores listados são os membros da comissão que assinaram o relatório (Anderson Marcos Viana, presidente; Marisa Alves da Silva Costa e Paulo Sérgio Cordeiro, membros)."
DEN-016,2022,63ª Sessão Ordinária da 18ª Legislatura,2022-06-27,Anderson Marcos Viana,"Vereador relata ter percorrido cerca de 22 a 25 km em área rural do município (da Rua Belém, próximo ao Lar do Menor, até o Rio Caingans) e constatado nascentes, córregos e rios tomados por esgoto doméstico irregular, com animais mortos (peixes, cágados) e animais obrigados a beber água contaminada; filmou e fotografou a situação e conversou com o setor de obras responsável, que atribuiu o problema a ligações irregulares de esgoto feitas por moradores diretamente nas bocas de lobo.","Diretoria de Agronegócio, Indústria, Comércio e Meio Ambiente e Gestão de Resíduos Sólidos",Feita/cobrada pelo vereador,Pendente de Verificação,"Relato feito em explicações pessoais na tribuna, sem número formal ou requerimento associado nesta sessão. Diretoria de destino inferida (assunto de meio ambiente/saneamento), não citada explicitamente pelo vereador."
DEN-017,2022,63ª Sessão Ordinária da 18ª Legislatura,2022-06-27,Anderson Marcos Viana,"Vereador questiona processo seletivo realizado cerca de 15 dias antes pela Santa Casa de Junqueirópolis, com inscrição paga (R$ 40 para vagas de faxina, R$ 50 para outras) em regime de cadastro de reserva (sem garantia de contratação), enquanto, na mesma época, a entidade teria contratado uma enfermeira padrão por análise de currículo, sem qualquer processo seletivo ou prova, mesmo em meio a alegadas dificuldades financeiras da instituição.",,Feita/cobrada pelo vereador,Pendente de Verificação,"Entidade envolvida (Santa Casa de Misericórdia de Junqueirópolis) não é uma diretoria municipal, por isso 'direcionada_a' ficou nulo; campo 'resumo' menciona a entidade. Relato feito em explicações pessoais, sem documento formal associado nesta sessão."
DEN-018,2022,65ª Sessão Ordinária da 18ª Legislatura,2022-08-08,Anderson Marcos Viana,"Vereador comenta caso de maus-tratos a uma cadela ocorrido no final de semana anterior, relatando que moradores tiveram coragem de acionar advogados e registrar boletim de ocorrência contra o responsável, que não ficará impune; parabeniza os envolvidos pela iniciativa e menciona que a vereadora Marisa também já havia tentado agir em casos semelhantes.",,Recebida pelo vereador,Pendente de Verificação,"Não foi possível identificar com segurança se a denúncia/BO foi feita pela população, por advogados ou encaminhada ao próprio vereador; ele apenas comenta e parabeniza o desfecho na tribuna. Sem diretoria de destino explícita (caso já estava em tramitação policial/judicial, não administrativa)."
DEN-019,2022,65ª Sessão Ordinária da 18ª Legislatura,2022-08-08,"Anderson Marcos Viana, Paulo Sérgio Cordeiro, Marisa Alves da Silva Costa","Vereador relata que chegou nova denúncia à Comissão de Obras (da qual é presidente, com Paulo Sérgio Cordeiro e Marisa Alves da Silva Costa como membros) sobre a continuidade de obras na faixa de domínio da linha férrea (bancos, pilares e mesas de concreto), reafirmando que a comissão não autorizou tais intervenções e que o assunto está sendo investigado; também menciona que uma empresa contratada pela Rumo Logística está demarcando árvores na área para possível corte, e cita reuniões com a concessionária sobre a eventual retomada de trens cargueiros na malha ferroviária.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Recebida pelo vereador,Pendente de Verificação,"Continuação do tema tratado no relatório da Comissão de Obras sobre o processo 03/2021, lido na sessão de 2022-06-27 (ver lote anterior). Vereadores listados são os membros da Comissão de Obras citados pelo próprio vereador nesta fala."
DEN-020,2022,65ª Sessão Ordinária da 18ª Legislatura,2022-08-08,Anderson Marcos Viana,"Vereador cobra da administração providências sobre a venda e locação irregular de casas populares do Residencial das Américas, alegando que a situação 'virou palhaçada', com casas alugadas ou fechadas em vez de destinadas aos suplentes da fila de espera; relembra um episódio semelhante ocorrido em 2012, quando teria sofrido represálias por denunciar um esquema de desvio de casas populares alugadas irregularmente.","Diretoria Jurídica, Habitação e de Trânsito",Feita/cobrada pelo vereador,Pendente de Verificação,"Motivou o Requerimento nº 013/2022, apresentado pelo mesmo vereador na sessão seguinte (2022-08-15), solicitando informações formais sobre a fiscalização do Residencial das Américas (ver raw_requerimentos). Diretoria de destino inferida (assunto de habitação), não foi citada explicitamente pelo vereador."
DEN-021,2022,69ª Sessão Ordinária da 18ª Legislatura,2022-09-06,Anderson Marcos Viana,"Vereador relata reclamações recebidas da população sobre o atendimento do serviço de resgate/socorro municipal, citando o caso de uma cidadã (referida como 'de Cropla' ou nome de bairro assemelhado) cuja criança teve um mal súbito; a mensagem enviada ao secretário sobre o caso ainda não havia sido respondida. O vereador também mencionou, de forma confusa, situações de moradores intimados a prestar depoimento na delegacia após postagens sobre o tema nas redes sociais.",Diretoria de Saúde,Recebida pelo vereador,Pendente de Verificação,O nome/local citado como 'cidadã de Cropla' não foi possível identificar com segurança (pode ser erro de transcrição de um bairro ou sobrenome). O trecho sobre moradores intimados pela delegacia após denúncias/reclamações contra a população ficou muito confuso na fala do vereador para render um registro separado com segurança; mantido apenas como contexto nesta nota.
DEN-022,2022,70ª Sessão Ordinária da 18ª Legislatura,2022-09-13,"Anderson Marcos Viana, Reinaldo Codognato","Vereadores relatam denúncia/reclamação recebida da população sobre o tempo de atendimento da base comunitária de bombeiros/resgate em um caso concreto ocorrido no início de setembro, exposto pela família em rede social; o caso foi esclarecido em reunião com o secretário da Saúde e o sargento responsável pela base, que apresentou os horários do atendimento (chamada às 6h07, chegada em poucos minutos) e a família reconheceu o equívoco ao final, pedindo desculpas. O morador Daniel também foi mencionado como tendo recebido intimação da delegacia após comentar o caso no Facebook.",Diretoria de Saúde,Recebida pelo vereador,Pendente de Verificação,"Caso é continuação do tema tratado na sessão anterior (2022-09-06). A situação do morador Daniel, intimado pela delegacia após comentar o caso, ficou pouco clara quanto à motivação exata da intimação (se por difamação, ou por outro motivo); mantida apenas como contexto complementar."
DEN-023,2022,77ª Sessão Ordinária da 18ª Legislatura,2022-11-01,Anderson Marcos Viana,"Vereador relata denúncia recebida de uma moradora da Rua das Andorinhas: outra moradora teria ido até a porta de sua casa e jogado veneno na tentativa de envenenar seus cães (que sobreviveram por comerem apenas ração). A vítima teria fotografado a situação e identificado a suspeita, mas sem provas suficientes para formalizar a denúncia no momento.",,Recebida pelo vereador,Pendente de Verificação,O vereador não citou nomes por já ter feito o alerta público na tribuna; não foi possível confirmar se houve registro formal de ocorrência policial sobre o caso.
DEN-024,2022,80ª Sessão Ordinária da 18ª Legislatura,2022-11-21,Anderson Marcos Viana,"O vereador Anderson Marcos Viana denunciou a retirada de aproximadamente mil caminhões de terra de um terreno público próximo ao campo de futebol do bairro Duas Barras, sem autorização da Câmara Municipal, alegando que o local era um antigo aterro sanitário/hospitalar com seringas, agulhas e resíduos médicos ainda não decompostos, configurando risco à saúde pública.",,Feita/cobrada pelo vereador,Pendente de Verificação,"O vereador afirma 'ter feito a denúncia' mas não especifica a qual órgão externo (delegacia, Ministério Público etc.) ela foi endereçada; parece, neste primeiro momento, tratar-se de denúncia formulada publicamente em tribuna."
DEN-025,2022,81ª Sessão Ordinária da 18ª Legislatura,2022-11-28,Anderson Marcos Viana,"Anderson Marcos Viana retomou a denúncia da sessão anterior sobre a retirada de terra de possível aterro hospitalar em Duas Barras, contestando explicação do vereador Reinaldo Codognato (dada na sessão de 21/11) de que parte dessa terra teria sido usada na base do asfalto do Distrito Industrial IV. Classificou a hipótese como possível 'crime de peculato' caso confirmada, e cobrou apuração por se tratar de assunto de saúde pública.",,Feita/cobrada pelo vereador,Pendente de Verificação,"Continuação/atualização do caso registrado na sessão de 21/11/2022 (retirada de terra de possível aterro hospitalar em Duas Barras). Até o momento da fala, não havia confirmação oficial de que a terra tenha realmente sido usada na base do asfalto do Distrito Industrial IV."
DEN-026,2022,82ª Sessão Ordinária da 18ª Legislatura,2022-12-05,,"O resumo do expediente da sessão registrou o Ofício nº 31/2022 do Departamento Jurídico da Prefeitura, em resposta ao Ofício nº 119/2022 desta Casa, tratando de 'eventuais irregularidades relacionadas ao descarte e armazenamento de material médico' — aparente desdobramento formal, por via de ofício da Câmara ao setor Jurídico, do caso da terra de possível aterro hospitalar retirada em Duas Barras, denunciado por Anderson Marcos Viana nas sessões de 21/11 e 28/11/2022.","Diretoria Jurídica, Habitação e de Trânsito",Relatada em documento/ofício,Pendente de Verificação,"O conteúdo do Ofício nº 31/2022 não foi lido na íntegra durante a sessão (apenas mencionado no resumo do expediente), portanto não há detalhe sobre a conclusão ou o teor da resposta jurídica. A ligação com o caso da terra/aterro hospitalar é inferida pelo tema ('descarte e armazenamento de material médico') e pela proximidade temporal com as falas de Anderson Marcos Viana nas duas sessões anteriores; não foi encontrada confirmação explícita no texto de que se trata do mesmo episódio."
DEN-027,2023,89ª Sessão Ordinária da 18ª Legislatura,2023-03-06,Anderson Marcos Viana,"Durante discussão sobre um requerimento anterior de sua autoria (que pedia explicações sobre o pagamento de professores de zumba e defesa pessoal), o vereador Anderson Marcos Viana relatou publicamente, em tom de confronto, que o secretário de Saúde, Israel Gumiero, o havia questionado pessoalmente sobre a origem do dinheiro usado para pagar esses professores. Em resposta, Anderson insinuou na tribuna um episódio anterior não detalhado em que o secretário teria 'agredido' e 'dado um chute' em uma senhora, afirmando nunca ter questionado publicamente esse fato antes, e alertou o secretário a 'cuidar de suas próprias casas'.",Diretoria de Saúde,Feita/cobrada pelo vereador,Pendente de Verificação,"Alegação grave e vaga, feita em tom de confronto pessoal na tribuna, sem menção de data, local, nome da suposta vítima ou de qualquer registro formal (boletim de ocorrência, processo, ofício). Não há confirmação, no texto revisado, de que esse episódio tenha sido levado adiante formalmente (não foi identificado requerimento, denúncia formal ou ofício tratando especificamente deste caso). Recomenda-se cautela na publicação por se tratar de acusação não comprovada contra servidor público nomeado; sugere-se revisão humana antes de divulgar."
DEN-028,2023,90ª Sessão Ordinária da 18ª Legislatura,2023-03-13,Anderson Marcos Viana,"O vereador relatou o caso de uma senhora idosa (referida como 'Dona Bela'), moradora da Rua Belo Horizonte, próximo ao Campo da Curitiba, cuja casa apresenta rachaduras e o chão afundado, estando sustentada apenas pela tesoura da estrutura de madeira, em risco de desabamento. Segundo o vereador, o caso já havia sido comunicado aos setores responsáveis da administração há cerca de 22 a 30 dias; uma equipe da Defesa Civil teria ido ao local, tirado três fotos e não retornado, sem solução até a data da sessão.",Diretoria de Assistência Social,Feita/cobrada pelo vereador,Pendente de Verificação,"Diretoria de destino inferida (situação de vulnerabilidade habitacional de idosa), podendo também envolver a Diretoria de Planejamento, Obras, Serviços e Manutenção (risco estrutural do imóvel) e a Defesa Civil, mencionada nominalmente pelo vereador como já acionada. Caso segue sendo mencionado nas sessões seguintes (ver denúncia da sessão de 20/03/2023 sobre o mesmo assunto)."
DEN-029,2023,90ª Sessão Ordinária da 18ª Legislatura,2023-03-13,Anderson Marcos Viana,"Moradores do loteamento Recanto do Eucalipto relataram ao vereador prejuízos materiais (perda de alimentos, geladeira e outros bens, danos a contenções de pneus) causados por fortes chuvas e enxurradas no final de semana anterior à sessão. Segundo o vereador, moradores atingidos tentaram contato com a administração sem retorno, e ninguém do poder público havia comparecido ao local até o momento de sua fala em plenário.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Recebida pelo vereador,Pendente de Verificação,"Caso segue sendo discutido nas sessões seguintes; na sessão de 20/03/2023, o presidente da Câmara e outro vereador esclareceram que a Defesa Civil foi de fato acionada na noite dos fatos e que houve contato com moradores do bairro. Diretoria de destino inferida pelo tema (escoamento de águas pluviais/infraestrutura do loteamento)."
DEN-030,2023,90ª Sessão Ordinária da 18ª Legislatura,2023-03-13,Anderson Marcos Viana,"O vereador relatou o caso de uma moradora da Avenida Bandeirante com a Rua Tiradentes (próximo ao antigo prédio da Igreja Assembleia de Deus), cuja casa vem sendo destruída há cerca de 12 anos pelo escoamento de água pluvial proveniente de um terreno público, tendo já perdido três muros e parte da residência. Segundo o vereador, a moradora chegou a acionar a Justiça contra a administração municipal para tentar reparação, mas perdeu a ação.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Recebida pelo vereador,Pendente de Verificação,"Situação de longa data (cerca de 12 anos) e com desfecho judicial desfavorável à moradora já mencionado pelo vereador; não há indicação de que providências tenham sido tomadas na sequência das sessões analisadas neste lote. Recomenda-se cautela por envolver processo judicial não detalhado (partes, número do processo)."
DEN-031,2023,91ª Sessão Ordinária da 18ª Legislatura,2023-03-20,Anderson Marcos Viana,"O vereador reiterou o caso da senhora idosa ('Dona Bela'), da Rua Belo Horizonte, cuja casa segue com risco de desabamento (chão afundado, rachaduras), informando que já se passaram entre 33 e 35 dias desde o primeiro pedido de providências, sem solução até o momento; relatou novamente que a Defesa Civil esteve no local, tirou fotos e não retornou.",Diretoria de Assistência Social,Feita/cobrada pelo vereador,Pendente de Verificação,"Continuidade do caso já relatado na sessão de 13/03/2023 (90ª sessão ordinária), sem solução até a data desta sessão."
DEN-032,2023,91ª Sessão Ordinária da 18ª Legislatura,2023-03-20,Anderson Marcos Viana,"O vereador cobrou, pela terceira vez em plenário, providências sobre a ponte do Córrego do Fogo, na estrada rural que liga Junqueirópolis a Flora Rica, que teria caído há aproximadamente 10 anos; segundo o vereador, a estrada municipal no local está tomada por mato e cercas, dificultando o acesso.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Feita/cobrada pelo vereador,Pendente de Verificação,"Vereador afirmou já ter cobrado o mesmo assunto em pelo menos duas sessões anteriores, não identificadas neste lote."
DEN-033,2023,91ª Sessão Ordinária da 18ª Legislatura,2023-03-20,Anderson Marcos Viana,"O vereador relatou o caso de uma chácara na região da Chácara Santa Ruth (citado o nome 'Alberto Nucci' e o proprietário como 'seu Reginaldo'), próxima ao local conhecido como 'Pontilhão', onde a erosão causada por enxurradas estaria destruindo parte da propriedade, incluindo viveiros/lagoas de peixes. Segundo o vereador, tentativas de contato com o setor responsável da administração, feitas por telefone e mensagens, não obtiveram retorno após quatro ou cinco tentativas.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Feita/cobrada pelo vereador,Pendente de Verificação,"Localização do imóvel e nome do proprietário mencionados de forma imprecisa/coloquial pelo vereador na fala; recomenda-se confirmação antes de publicação, se necessário identificar o local com mais precisão."
DEN-034,2023,91ª Sessão Ordinária da 18ª Legislatura,2023-03-20,Anderson Marcos Viana,"O vereador afirmou ter apresentado formalmente uma denúncia, já encaminhada à Promotoria de Justiça, questionando a legalidade de obras realizadas na área da antiga linha férrea (praça, jardins, pergolados, aparelhos de ginástica) sem que o investimento de recursos públicos tivesse sido submetido à aprovação da Câmara Municipal, alegando desconhecer qualquer documentação que autorizasse tais gastos.","Diretoria Jurídica, Habitação e de Trânsito",Feita/cobrada pelo vereador,Pendente de Verificação,"Vereador não apresentou em plenário a documentação da denúncia à Promotoria nem detalhou valores ou datas específicas; presidente da Câmara respondeu de forma genérica, afirmando que a Casa agiria dentro da lei se necessário. Recomenda-se cautela e verificação adicional antes de publicação, por se tratar de acusação de possível irregularidade administrativa sem comprovação apresentada na sessão."
DEN-035,2023,92ª Sessão Ordinária da 18ª Legislatura,2023-03-27,Anderson Marcos Viana,"O vereador relatou que uma criança deu entrada no pronto-socorro municipal (Santa Casa) com quadro respiratório grave e não foi avaliada pessoalmente pelo médico pediatra de plantão, que teria orientado apenas o encaminhamento da criança à UTI móvel ('cross') sem exame direto; a criança teria permanecido na fila de espera da UTI móvel por mais de um dia. Segundo o vereador, o mesmo tipo de situação ocorreu duas vezes na mesma semana.",Diretoria de Saúde,Feita/cobrada pelo vereador,Pendente de Verificação,"O presidente da Câmara se comprometeu, ainda durante a sessão, a encaminhar ofício à Armandade da Santa Casa de Misericórdia de Junqueirópolis solicitando explicações sobre o caso. Não foi identificada, nas sessões seguintes analisadas neste lote, resposta formal a esse pedido."
DEN-036,2023,92ª Sessão Ordinária da 18ª Legislatura,2023-03-27,Anderson Marcos Viana,"O vereador relatou que a água proveniente da área do cemitério municipal (recentemente ampliada) está causando erosão que já destruiu metade de um sítio vizinho, de propriedade de um morador não identificado pelo nome ('o rapaz que mora do lado'). Segundo o vereador, havia sido combinado verbalmente com a administração a construção de um muro de contenção para impedir o escoamento da água para o sítio, o que não foi cumprido, e a erosão segue avançando.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Feita/cobrada pelo vereador,Pendente de Verificação,"Vereador não identificou o proprietário do sítio pelo nome nem apresentou documentação; recomenda-se cautela e, se possível, confirmação adicional antes de publicação."
DEN-037,2023,93ª Sessão Ordinária da 18ª Legislatura,2023-04-03,Anderson Marcos Viana,"O vereador apontou uma área verde na Rua Constantino Marcolino de Souza, próxima ao parque ecológico, como foco de proliferação do mosquito da dengue, com acúmulo de garrafas PET e outros recipientes trazidos pela água de bueiros, em mata fechada que dificulta a limpeza pelos serviços municipais.","Diretoria de Agronegócio, Indústria, Comércio e Meio Ambiente e Gestão de Resíduos Sólidos",Feita/cobrada pelo vereador,Pendente de Verificação,"Contexto de crise de dengue no município relatado ao longo de várias sessões deste lote, incluindo duas mortes de crianças mencionadas na mesma sessão."
DEN-038,2023,93ª Sessão Ordinária da 18ª Legislatura,2023-04-03,Anderson Marcos Viana,"O vereador relatou que, apesar de o setor responsável ter enviado máquina para melhorar a estrada do bairro Aburitio, alguns trechos continuaram intransitáveis para carros pequenos devido a lama/barro acumulado, pedindo nova atenção da administração ao local.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Feita/cobrada pelo vereador,Pendente de Verificação,
DEN-039,2023,94ª Sessão Ordinária da 18ª Legislatura,2023-04-10,Anderson Marcos Viana,"O vereador apresentou, com base em documentos da licitação, um histórico de três adiamentos sucessivos do prazo de execução da obra de pavimentação asfáltica da Rua Chapéu de Couro (licitação vencida em 22/08/2022, com prazos adiados para dezembro/2022, fevereiro/2023 e abril/maio/2023), sem que a obra tivesse sido iniciada até a data da sessão. O vereador insinuou que o atraso poderia ser proposital, para que a obra seja iniciada perto do período eleitoral de 2024.","Diretoria de Licitações, Contratos e Convênios",Feita/cobrada pelo vereador,Pendente de Verificação,"Vereador afirmou possuir toda a documentação dos adiamentos, mas não a anexou/leu integralmente em plenário; menção a uma possível relação com um vídeo de cobrança feito por moradores é apresentada pelo próprio vereador como especulação ('não sei se é'). Recomenda-se cautela por se tratar de acusação de possível motivação política não comprovada."
DEN-040,2023,94ª Sessão Ordinária da 18ª Legislatura,2023-04-10,Anderson Marcos Viana,"O vereador relatou, após visita ao local com o projeto da obra em mãos, que a pavimentação da via de acesso João Furini não foi executada conforme o projeto: um trecho previsto (próximo ao campo de futebol) não teria sido asfaltado pela empresa contratada, que já havia sido paga em R$ 100.388,40 e havia deixado o local. O vereador questionou se a empresa retornaria para concluir o serviço.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Feita/cobrada pelo vereador,Pendente de Verificação,"Diretamente relacionada ao Requerimento nº 13/2023, registrado no arquivo de requerimentos deste mesmo lote, apresentado na mesma sessão para formalizar o pedido de esclarecimentos."
