ID,Numero_Requerimento,Ano,Sessao,Data_Sessao,Vereador,Resumo,Diretoria_Destino,Resultado_Votacao,Oficio_Resposta,Status_Resposta,Observacoes
REQ-025,022,2025,14ª Sessão Ordinária da 19ª Legislatura,2025-05-05,Edvaldo Aparecido Carvalho,"Requer o envio de ofício ao delegado da Receita Federal de Presidente Prudente/SP, solicitando informações sobre a viabilidade de doação de um veículo de pequeno porte para uso do Conselho Tutelar de Junqueirópolis, e quais os procedimentos formais para eventual destinação de bens sob responsabilidade daquela delegacia.",Delegado da Receita Federal de Presidente Prudente,Aprovado,,Pendente,Apresentado pelo vereador/presidente Edvaldo Aparecido Carvalho; o requerimento foi lido em plenário como 'de autoria desta presidência'. Na sessão de 12/05/2025 os vereadores relataram que o veículo já havia sido doado e entregue ao município.
REQ-026,,2025,15ª Sessão Ordinária da 19ª Legislatura,2025-05-12,Reinaldo Codognato,"Pedido verbal, feito em explicações pessoais, para que a presidência da Câmara envie ofício à administração municipal requerendo o envio do projeto de lei de reajuste salarial dos professores da educação infantil (CIs, recém-transformados em escolas municipais pelo Decreto 7.691/2025), tendo em vista que os profissionais aguardavam esse repasse.","Diretoria de Educação, Cultura, Esportes, Lazer e Turismo",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Pedido verbal feito pelo vereador Reinaldo Codognato durante explicações pessoais (sessão de 12/05/2025), solicitando à mesa/presidência o envio de ofício à administração/Executivo cobrando o envio do projeto de lei de aumento salarial dos professores da educação infantil. Não recebeu número de requerimento nem foi votado nesta sessão; diretoria de destino inferida (educação) por se tratar de assunto salarial de professores, podendo também envolver a Diretoria de Fazenda, Compras, Almoxarifado e Recursos Humanos."
REQ-027,023,2025,15ª Sessão Ordinária da 19ª Legislatura,2025-05-12,Edvaldo Aparecido Carvalho,"Requer à diretoria de planejamento, obras, serviços e manutenção informações sobre as providências adotadas quanto à iminente falta de espaço para sepultamentos no cemitério municipal, incluindo se há planejamento de ampliação da área, aquisição de novos terrenos ou outras medidas para evitar o esgotamento do espaço atual.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,
REQ-028,024,2025,15ª Sessão Ordinária da 19ª Legislatura,2025-05-12,Teresinha de Lourdes Freitas Regodanso,"Requer o envio de ofício à presidência do Tribunal de Justiça do Estado de São Paulo solicitando informações sobre a possibilidade de nomeação de novos oficiais de justiça para a 29ª Circunscrição Judiciária (sede em Dracena), com prioridade para as comarcas de Junqueirópolis, Pacaembu e Panorama, tendo em vista o déficit de nove cargos vagos e o desequilíbrio na distribuição entre as comarcas.",Presidência do Tribunal de Justiça do Estado de São Paulo,Aprovado,,Pendente,
REQ-029,,2025,17ª Sessão Ordinária da 19ª Legislatura,2025-05-26,Bruno Herreira,"Pedido verbal em tribuna, no espaço da palavra livre, para que conste em ata um requerimento na próxima sessão questionando a situação dos uniformes escolares das crianças das escolas municipais, ainda não entregues.","Diretoria de Educação, Cultura, Esportes, Lazer e Turismo",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Pedido feito verbalmente na palavra livre ('quero que conste em ata, por gentileza, um requerimento aí para a próxima sessão'), sem leitura formal de requerimento numerado nem votação nesta sessão. diretoria_destino inferida (assunto: uniformes escolares); não confirmada explicitamente na fala."
REQ-030,,2025,17ª Sessão Ordinária da 19ª Legislatura,2025-05-26,Bruno Herreira,"Pedido verbal para que a Câmara formalize requerimento solicitando uma reunião com representantes do bairro Jardim Primavera (e também do bairro Aliança), cobrando resposta da administração sobre a iluminação de área verde do bairro, apontada como foco de insegurança (uso de drogas, moradores com medo).","Diretoria de Planejamento, Obras, Serviços e Manutenção",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Presidente confirmou em seguida o encaminhamento ('vamos fazer um requerimento... peço que o secretário da casa também providencie esse requerimento'), mas não houve leitura formal, numeração nem votação nesta sessão. diretoria_destino inferida pelo assunto (iluminação pública); o pedido também envolve articulação de reunião com o Executivo, não uma diretoria específica isolada."
REQ-031,,2025,17ª Sessão Ordinária da 19ª Legislatura,2025-05-26,Renato Vieira de Brito,"Vereador questionou em tribuna uma suposta discrepância de preço (cerca de 50% acima do valor de mercado) em uma compra direta realizada pela Prefeitura, sugerindo possível favorecimento de empresa ligada a diretor. Em resposta, a Presidência propôs encaminhar requerimento na sessão seguinte para apurar a diferença de preço e identificar a empresa contemplada na licitação/compra direta.","Diretoria de Licitações, Contratos e Convênios",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Proposta de requerimento feita de forma tentativa pela Presidência ('nós podemos encaminhar um requerimento na próxima sessão'), em resposta à fala do vereador Renato Vieira de Brito; não houve leitura formal, numeração nem votação nesta sessão, e não foi confirmado se chegou a ser formalizado em sessão posterior dentro do lote analisado. diretoria_destino inferida (assunto: licitação/compra direta)."
REQ-032,025,2025,17ª Sessão Ordinária da 19ª Legislatura,2025-05-26,Renato Vieira de Brito,"Requer o envio de ofício à Diretoria Administrativa solicitando relação completa (nome, cargo/função, setor e percentual) dos servidores que recebem a gratificação JETID e a gratificação prevista no inciso 1º do artigo 156 da Lei Complementar nº 17/1991, referente ao período de janeiro de 2025 até a data da resposta.",Diretoria Administrativa,Aprovado,,Pendente,
REQ-033,026,2025,17ª Sessão Ordinária da 19ª Legislatura,2025-05-26,Renato Vieira de Brito,"Requer o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção solicitando informações sobre o corte de eucaliptos nas dependências do estádio municipal, incluindo se houve contrato ou vínculo com empresa responsável e a destinação da madeira proveniente do corte.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,
REQ-034,027,2025,18ª Sessão Ordinária da 19ª Legislatura,2025-06-02,Renato Vieira de Brito,"Requer o envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção solicitando relação completa dos prédios públicos municipais que possuem Auto de Vistoria do Corpo de Bombeiros (AVCB), com respectiva data de emissão e vencimento de cada um.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,"Resposta ao requerimento foi apresentada na sessão de 2025-06-09 (mencionada no expediente como 'Informação em resposta ao requerimento 027-2025', lida como 'Requerimento número 27, barra 2025'), mas sem número de ofício explícito atribuído a essa resposta — por isso oficio_resposta ficou null, conforme critério da tarefa."
REQ-035,,2025,19ª Sessão Ordinária da 19ª Legislatura,2025-06-09,Bruno Herreira,"Pedido verbal de requerimento sobre a situação da obra/reforma da EMEI 'Criança Feliz', questionando se a obra já foi integralmente paga, a pendência da licitação da fiação elétrica (obra concluída sem fiação) e se a empresa responsável abandonou os serviços, exigindo esclarecimento da administração.","Diretoria de Planejamento, Obras, Serviços e Manutenção",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Pedido feito na palavra livre ('vamos fazer por gentileza um requerimento sobre a situação desse EMEI'); a transcrição registra 'e-mail' como provável erro de reconhecimento de fala para 'EMEI'. Sem leitura formal, numeração nem votação nesta sessão."
REQ-036,,2025,19ª Sessão Ordinária da 19ª Legislatura,2025-06-09,Edvaldo Aparecido Carvalho,"Durante discussão do Projeto de Lei Complementar 022/2025 (suplementação orçamentária da Câmara), a vereadora Teresinha de Lourdes Freitas Regodanso questionou a necessidade da suplementação. O Presidente da Câmara, Edvaldo Aparecido Carvalho, respondeu com explicação preliminar e declarou que iria registrar um requerimento para que o diretor/contador da própria Câmara Municipal apresentasse esclarecimento por escrito sobre os motivos da suplementação, a ser trazido na sessão seguinte.","Contabilidade/Diretoria da Câmara Municipal (órgão interno do Legislativo, não uma das diretorias da Prefeitura)",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Requerimento anunciado pelo próprio Presidente da Câmara (Edvaldo Aparecido Carvalho) em resposta ao questionamento da vereadora Teresinha, dirigido ao diretor/contador da própria Câmara Municipal — não é um pedido do Executivo/Prefeito, nem está endereçado a uma das 9 diretorias oficiais da Prefeitura, pois se refere à contabilidade interna do Legislativo; diretoria_destino é uma descrição aproximada por não haver correspondência exata na lista oficial. Fala: 'eu vou registrar um requerimento para o diretor da Câmara fazer o esclarecimento por escrito'. Sem leitura formal, numeração nem votação nesta sessão."
REQ-037,028,2025,21ª Sessão Ordinária da 19ª Legislatura,2025-06-23,Anderson Marcos Viana,"Requer envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção solicitando informações sobre o desaparecimento de diversas mesas modelo bistrô, pertencentes ao patrimônio público, que estavam armazenadas no recinto da Seruva (de aproximadamente 300 unidades restam poucas).","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,
REQ-038,029,2025,22ª Sessão Ordinária da 19ª Legislatura,2025-06-30,Reinaldo Codognato,"Requer envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção (coordenadoria de estradas rurais) solicitando informações sobre propriedades próximas à Vila São João onde estão sendo feitas plantações de cana-de-açúcar aparentemente sem uso de curvas de nível, e quais medidas de fiscalização estão sendo adotadas.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,015/2025,Respondido,
REQ-039,030,2025,23ª Sessão Ordinária da 19ª Legislatura,2025-08-04,Reinaldo Codognato,"Requer envio de ofício à Diretoria de Planejamento, Obras, Serviços e Manutenção solicitando informações sobre as causas e providências para solucionar o forte odor de esgoto que retorna às residências próximas ao cruzamento da Avenida Marconi com a Rua Ipiranga, no bairro Alto do CN. Apresentado com 165 assinaturas de moradores.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Aprovado,,Pendente,
REQ-040,031,2025,23ª Sessão Ordinária da 19ª Legislatura,2025-08-04,Anderson Marcos Viana,"Requer envio de ofício à Diretoria Jurídica, Habitação e de Trânsito solicitando informações sobre a cobrança realizada aos moradores da Rua Santa Fé referente a obra de pavimentação asfáltica executada anos atrás, incluindo fundamentos da cobrança e se houve comunicação prévia aos moradores.","Diretoria Jurídica, Habitação e de Trânsito",Aprovado,,Pendente,
REQ-041,032,2025,23ª Sessão Ordinária da 19ª Legislatura,2025-08-04,Anderson Marcos Viana,"Requer envio de ofício à ARTESP (Agência de Transporte do Estado de São Paulo) solicitando providências quanto à recente redução dos horários de circulação dos ônibus intermunicipais entre Junqueirópolis e Dracena, que tem prejudicado trabalhadores e estudantes.",ARTESP (Agência de Transporte do Estado de São Paulo),Aprovado,,Pendente,"Destinatário é órgão estadual externo (ARTESP), não uma das diretorias municipais."
REQ-042,033,2025,23ª Sessão Ordinária da 19ª Legislatura,2025-08-04,"Edvaldo Aparecido Carvalho, Renato Vieira de Brito, Anderson Marcos Viana","Requer envio de ofício à Diretoria de Saúde solicitando esclarecimentos sobre a situação relatada por munícipes envolvendo a aquisição e substituição periódica (a cada três meses) do dispositivo médico sonda de gastrostomia tipo bottom, procedimentos e prazos de reposição.",Diretoria de Saúde,Aprovado,287/2025,Respondido,
REQ-043,034,2025,24ª Sessão Ordinária da 19ª Legislatura,2025-08-11,Anderson Marcos Viana,"Requer, em regime de urgência especial (viabilizado pelo Requerimento de Urgência Especial nº 002/2025), a convocação da Diretora de Saúde, do coordenador responsável pelas ESFs e do coordenador do Pronto Socorro Municipal para prestarem pessoalmente informações e apresentarem relatórios sobre os atendimentos relativos aos casos de óbito de Adilson Francisco dos Santos e Adriana Oliveira Pinto, ocorridos no fim de semana anterior, com base no artigo 10, inciso 10, da Lei Orgânica do Município.",Diretoria de Saúde,Aprovado,,Pendente,"Votado sob regime de urgência especial (Requerimento de Urgência Especial nº 002/2025, também aprovado nesta sessão mas não incluído neste levantamento por não ser um requerimento de informação/providências dirigido a diretoria/secretaria — trata-se de requerimento procedimental interno para tramitação em regime de urgência)."
REQ-044,,2025,25ª Sessão Ordinária da 19ª Legislatura,2025-08-18,Reinaldo Codognato,"Durante a palavra livre, o vereador relatou ter sido procurado por munícipes sobre a falta de água no Residencial Vale do Sol e solicitou verbalmente ao secretário da Câmara o envio, na semana seguinte, de um requerimento/ofício à pasta responsável para cobrar posicionamento sobre o problema. O presidente confirmou que o requerimento seria encaminhado para providências.","Diretoria de Planejamento, Obras, Serviços e Manutenção",,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Não foi lido nem votado formalmente nesta sessão; o vereador solicitou verbalmente que fosse protocolado na semana seguinte. Sem número atribuído no momento da sessão. Diretoria de destino inferida (assunto de abastecimento de água/infraestrutura), não mencionada explicitamente no áudio."
REQ-045,035,2025,25ª Sessão Ordinária da 19ª Legislatura,2025-08-18,Edvaldo Aparecido Carvalho,"Requer envio de ofício à Diretoria Administrativa, em conjunto com a Comissão Organizadora da Seruva 2025, solicitando informações completas e detalhadas sobre orçamentos, despesas e previsão de arrecadação da Festa da Seruva 2025 (shows, estrutura, rodeio, rainha da Seruva, Cavalgada), incluindo dados sobre o convênio firmado com o Ministério do Turismo.",Diretoria Administrativa,Aprovado,,Pendente,
REQ-046,036,2025,25ª Sessão Ordinária da 19ª Legislatura,2025-08-18,Edvaldo Aparecido Carvalho,"Requer envio de ofício à Diretoria Administrativa solicitando informações sobre a atual situação da parceria entre o Poder Executivo Municipal e a Associação Autística Ter Ajudo de Junqueirópolis, incluindo tratativas em andamento e requisitos para formalização da parceria.",Diretoria Administrativa,Aprovado,,Pendente,
REQ-047,,2025,26ª Sessão Ordinária da 19ª Legislatura,2025-08-25,"Adriano de Marcos Lopes, Anderson Marcos Viana, Bruno Herreira, Edvaldo Aparecido Carvalho, Elizeu Adriano, Reinaldo Codognato, Renato Vieira de Brito, Samir Edson Tino, Teresinha de Lourdes Freitas Regodanso","Requerimento apresentado de forma extraordinária e especial pela presidência, solicitando o envio de ofício de apoio ao Congresso Nacional ao Projeto de Lei Complementar nº 21/2023 (que regulamenta a Lei Complementar 173/2020), reconhecendo o período de 27/05/2020 a 31/12/2021 (pandemia da COVID-19) para fins de contagem de tempo de serviço público (progressões, licença-prêmio, sexta-parte etc.). Aprovado por unanimidade, ofício assinado por todos os vereadores.",Congresso Nacional,Aprovado,,Pendente,"[Pedido verbal, ainda não formalizado/numerado] Requerimento apresentado verbalmente e de forma extraordinária pelo presidente da Câmara durante a sessão, sem numeração formal identificada na transcrição; dirigido a órgão externo (Congresso Nacional), não a uma diretoria da Prefeitura."
