ID,Tipo,Numero,Ano,Sessao,Data_Sessao,Vereador,Resumo,Setor_Diretoria,Situacao,Resultado_Votacao,Oficio_Resposta,Status,Observacoes
2124-IND-010,Indicação,020,2022,54ª Sessão Ordinária da 18ª Legislatura,2022-04-25,"Reinaldo Codognato, Marisa Alves da Silva Costa, Sofia Rodrigues dos Santos","Solicita a manutenção da área verde localizada na comunidade Lar Santa Terezinha, a fim de oferecer alternativa de lazer e entretenimento aos internos da entidade, reduzindo ansiedade e melhorando a convivência entre os moradores.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-REQ-002,Requerimento,005,2022,54ª Sessão Ordinária da 18ª Legislatura,2022-04-25,Anderson Marcos Viana,"Solicita informações ao Executivo sobre a formação da banda municipal (Projeto de Lei nº 10/2022 e Projetos de Lei Complementares nº 23 e 24/2022): qual a faixa etária dos integrantes que comporão a banda (já que em reunião prévia foi mencionado 'todas as idades', divergindo do estatuto do Centro Comunitário Semente da Vida, voltado a adolescentes de 12 a 17 anos e 11 meses) e se haveria possibilidade de apresentar minuta do plano de trabalho do termo de colaboração.","Diretoria de Educação, Cultura, Esportes, Lazer e Turismo",Normal,Aprovado,09/2022 (Departamento Jurídico),Respondido,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). Aprovado por 6 votos a 3. Resposta mencionada no resumo do expediente da sessão de 2022-05-09 (56ª sessão): ofício nº 09/2022 do Departamento Jurídico, informando o ofício nº 36/2022 desta Casa (não fica explícito no texto se a resposta esclareceu integralmente as dúvidas levantadas)."
2124-REQ-003,Requerimento,006,2022,54ª Sessão Ordinária da 18ª Legislatura,2022-04-25,Anderson Marcos Viana,"Solicita informações ao prefeito municipal sobre em quais leis municipais, decretos ou atos normativos a administração se baseia para autorizar a prestação de serviços a terceiros com maquinários e veículos de propriedade da Prefeitura, além do último decreto que dispõe sobre a revisão dos custos operacionais de tais serviços, em razão de comentários sobre uso de maquinário municipal em terreno particular na Rua Victor Junqueira, nº 1.105.","Diretoria de Planejamento, Obras, Serviços e Manutenção",Normal,Aprovado,11/2022 (Departamento Jurídico),Respondido,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). Resposta mencionada no resumo do expediente da sessão de 2022-05-09 (56ª sessão): ofício nº 11/2022 do Departamento Jurídico, informando o ofício nº 37/2022 desta Casa, com referência ao uso de maquinários da prefeitura em serviços particulares."
2124-REQ-004,Requerimento,007,2022,54ª Sessão Ordinária da 18ª Legislatura,2022-04-25,"Anderson Marcos Viana, Elio Furini Neto, Marisa Alves da Silva Costa, Paulo Sérgio Cordeiro, Reinaldo Codognato, Rui Domingos da Silva, Sofia Rodrigues dos Santos, Teresinha de Lourdes Freitas Regodanso, Valdir Aparecido de Oliveira","Requer o envio de ofício de condolências à família do Sr. Raul de La Líbera, comerciante muito conhecido na cidade e vereador na 9ª Legislatura (1983-1988), tendo exercido também a presidência da Câmara no biênio 1985-1986, manifestando sentimentos de pesar pelo falecimento e solicitando que as condolências sejam registradas em ata.",Família de Raul de La Líbera,Normal,,,Pendente,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). Requerimento atípico, de condolências, assinado por todos os vereadores; não foi encontrado no texto um registro explícito de discussão/votação em plenário (parece ter sido lido e encaminhado diretamente como ato de praxe)."
2124-IND-011,Indicação,021,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Valdir Aparecido de Oliveira,"Solicita a aquisição de uma moto fumacê para ajudar no combate à dengue, chikungunya, pernilongos e demais insetos, em razão do crescimento da cidade e do surto de dengue no período.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-012,Indicação,022,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,"Elio Furini Neto, Anderson Marcos Viana, Marisa Alves da Silva Costa, Paulo Sérgio Cordeiro, Teresinha de Lourdes Freitas Regodanso, Valdir Aparecido de Oliveira","Solicita a ampliação do horário permitido para velório no velório municipal, podendo ser velado a qualquer hora, para que a família possa se despedir do ente querido pelo período que achar necessário.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-013,Indicação,023,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,"Teresinha de Lourdes Freitas Regodanso, Anderson Marcos Viana, Elio Furini Neto, Marisa Alves da Silva Costa, Paulo Sérgio Cordeiro, Valdir Aparecido de Oliveira","Solicita a ampliação do horário de atendimento e da quantidade de postos de atendimento de fisioterapia em locais estratégicos da cidade, além da contratação de mais profissionais para atendimentos domiciliares a pacientes com maior dificuldade de locomoção, como idosos.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-014,Indicação,024,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Anderson Marcos Viana,"Solicita a poda de árvores nos canteiros do final da Rua Tiradentes (Jardim Esperança) e no final da Rua da Paz com a Rua Recife, em razão de o ambiente escuro se tornar propício ao uso de entorpecentes e a comportamentos suspeitos durante a noite.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-015,Indicação,025,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Anderson Marcos Viana,"Solicita o aumento do número de lugares disponíveis nas arquibancadas da ACERUVA 2022, em razão da alta demanda esperada em virtude da entrada franca do evento.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-016,Indicação,026,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Reinaldo Codognato,"Solicita a pavimentação asfáltica da rampa que dá acesso da rua até o portão de entrada da Sociedade de Proteção à Infância (SPI), em razão dos danos causados ao portão em períodos de chuva devido ao acúmulo de lama no terreno íngreme.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-REQ-005,Requerimento,,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Anderson Marcos Viana,"Anuncia verbalmente, em explicação pessoal, que fará (protocolará) um requerimento formal pedindo esclarecimentos sobre a origem dos recursos usados na reforma do ESF 7 e do ESF 3 (cerca de R$ 400 mil), após assessoria de imprensa ter atribuído a verba ao governo estadual, quando segundo o vereador o valor teria sido destinado pelos deputados Reinaldo Alguz e Henrique (federal/estadual), não pelo governador.",Diretoria Administrativa,Verbal/Não Formalizado,,,Pendente,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). Pedido apenas anunciado verbalmente em explicação pessoal nesta sessão (2022-05-02/03); não foi encontrado, nas sessões seguintes deste lote, o protocolo formal nem número atribuído a este requerimento."
2124-DEN-001,Denúncia,,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Anderson Marcos Viana,"Vereador relata furtos recorrentes de enfeites de bronze e metal em túmulos no cemitério municipal, citando o caso de uma amiga cujos enfeites (anjinhos) foram colocados no túmulo da filha e roubados poucos dias depois, e pede mais respeito à população e providências para conter os furtos.",,Feita/cobrada pelo vereador,,,Pendente de Verificação,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-DEN-002,Denúncia,,2022,55ª Sessão Ordinária da 18ª Legislatura,2022-05-02,Anderson Marcos Viana,"Vereador relata que moradores entraram em contato com ele para informar o envenenamento de aproximadamente seis gatos e um cachorro nas proximidades da Rua Victor Junqueira, perto da Rua Belém e da sede da fisioterapia.",,Recebida pelo vereador,,,Pendente de Verificação,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-017,Indicação,027,2022,56ª Sessão Ordinária da 18ª Legislatura,2022-05-09,"Reinaldo Codognato, Sofia Rodrigues dos Santos","Propõe que o futuro parque ecológico a ser criado no complexo de áreas verdes dos bairros Jardim Aliança, Residencial Campo Belo e Jardim Catuna receba o nome do saudoso João Seloto, um dos pioneiros do município, que trabalhou por anos na Prefeitura e foi zelador da antiga Igreja Católica dos Jardins e da Praça Bandeirantes (atual Praça Álvaro de Oliveira Junqueira).",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-018,Indicação,028,2022,56ª Sessão Ordinária da 18ª Legislatura,2022-05-09,"Elio Furini Neto, Anderson Marcos Viana, Paulo Sérgio Cordeiro, Teresinha de Lourdes Freitas Regodanso, Valdir Aparecido de Oliveira","Solicita a instituição de um auxílio municipal oncológico para fornecimento de alimentos naturais e essenciais a pessoas em tratamento contra o câncer (quimioterapia, radioterapia ou outros), a fim de manter e restaurar a imunidade do paciente durante o tratamento.",,,,,Pendente de Análise,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload)."
2124-IND-019,Indicação,029,2022,56ª Sessão Ordinária da 18ª Legislatura,2022-05-09,"Reinaldo Codognato, Sofia Rodrigues dos Santos","Solicita o retorno das atividades de recreação para a terceira idade, pausadas em razão da pandemia da Covid-19, incluindo o retorno dos técnicos e professores responsáveis pelo acompanhamento das atividades.",,,,,Atendida,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). O vereador Reinaldo esclareceu na própria sessão que as atividades recreativas já haviam retornado antes da votação desta indicação, restando pendente principalmente o reforço do acompanhamento por profissional de educação física."
2124-REQ-006,Requerimento,008,2022,56ª Sessão Ordinária da 18ª Legislatura,2022-05-09,"Elio Furini Neto, Anderson Marcos Viana, Paulo Sérgio Cordeiro, Teresinha de Lourdes Freitas Regodanso, Valdir Aparecido de Oliveira","Solicita informações ao prefeito municipal sobre quais medidas estão sendo adotadas para prevenção e combate à dengue no município, sugerindo a realização de mutirões por setores da cidade para eliminação de criadouros do mosquito Aedes aegypti.",Diretoria de Saúde,Normal,Aprovado,,Pendente,"Data da sessão conforme mencionado no texto da transcrição (véspera da data do nome do arquivo, que corresponde ao dia da postagem/upload). Aprovado por unanimidade de votos."
2124-IND-020,Indicação,030,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,"Anderson Marcos Viana, Elio Furini Neto, Rui Domingos da Silva, Teresinha de Lourdes Freitas Regodanço, Valdir Aparecido de Oliveira","Solicita implementação de iluminação no trecho da Avenida Edvirgem Aparecida Trevisan, citando riscos noturnos como uso de entorpecentes, problemas de trânsito e outros delitos favorecidos pela escuridão.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 16/05/2022, um dia antes da data do nome do arquivo (2022-05-17) - a transcrição parece corresponder a um vídeo publicado no dia seguinte à sessão. Usada a data do texto. O nome da avenida aparece transcrito de forma inconsistente ao longo da sessão (""Edivir Gisana"", ""Edvidesana Aparecida Trevisan"", ""Edvirgem Aparecida Trevisan""); normalizado para ""Avenida Edvirgem Aparecida Trevisan"", mas a grafia exata não pôde ser confirmada."
2124-IND-021,Indicação,031,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Solicita reforma da Academia de Judô do município, em razão do estado precário da estrutura relatado por pais de praticantes das modalidades de judô e caratê.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 16/05/2022, um dia antes da data do nome do arquivo (2022-05-17). Usada a data do texto."
2124-IND-022,Indicação,032,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Solicita implantação de pontos de ônibus em diversos bairros (Residencial das Américas, Jardim Paulista, Jardim Junqueirópolis, Vila Beatriz, Residencial Carmesim I e II, Pioneiros, Cristo Redentor, Residencial Figueira, Delta Ville, Jardim Esperança, Jardim dos Pássaros, Vila Santa Ruth, Jardim Boa Vista e Recanto dos Eucaliptos), para proteger moradores da chuva e do sol enquanto aguardam ônibus ou ambulâncias.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 16/05/2022, um dia antes da data do nome do arquivo (2022-05-17). Usada a data do texto."
2124-IND-023,Indicação,033,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Solicita iluminação e reforma das calçadas e muros do cemitério municipal, em razão de furtos frequentes relatados nas proximidades.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 16/05/2022, um dia antes da data do nome do arquivo (2022-05-17). Usada a data do texto."
2124-IND-024,Indicação,034,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,"Anderson Marcos Viana, Elio Furini Neto, Teresinha de Lourdes Freitas Regodanço, Valdir Aparecido de Oliveira","Solicita construção de cobertura nos ESFs 2, 3, 6 e 7, para proteger pacientes (especialmente crianças e idosos) que aguardam consultas da chuva e do sol intenso.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 16/05/2022, um dia antes da data do nome do arquivo (2022-05-17). Usada a data do texto."
2124-IND-025,Indicação,035,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,"Teresinha de Lourdes Freitas Regodanço, Elio Furini Neto, Valdir Aparecido de Oliveira","Solicita que o sistema de lazer do bairro Jardim Alvorada receba o nome da saudosa professora Maria das Dores Barbosa Estopa, a ""Professora Dorinha"", em homenagem ao seu trabalho social e educacional junto à comunidade do bairro.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 16/05/2022, um dia antes da data do nome do arquivo (2022-05-17). Usada a data do texto."
2124-DEN-003,Denúncia,,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Vereador relata que há semanas a água jorra sem controle dos registros do Horto do Seringal (fotos e filmagem próprias), configurando desperdício constante de água, sem que o setor responsável ou a empresa loteadora tenham dado solução até o momento.",Setor de obras/loteador responsável,Feita/cobrada pelo vereador,,,Pendente de Verificação,"Denúncia reiterada praticamente com os mesmos termos pelo vereador na sessão seguinte (59ª, 30/05/2022), indicando que o problema seguia sem solução."
2124-DEN-004,Denúncia,,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Vereador denuncia fiscalização desigual de lotes com mato alto: um lote no loteamento 'Trindade', próximo ao Campo do Madrugada, permanecia sem capinar havia mais de seis meses apesar de pedido formal, enquanto um lote pequeno de pessoa de menor posse foi encontrado, fotografado, notificado e limpo em apenas dois dias.",Setor de fiscalização da Prefeitura,Feita/cobrada pelo vereador,,,Pendente de Verificação,"Vereador reitera e detalha ainda mais essa denúncia na 59ª sessão (30/05/2022), citando também o loteamento Hortus Seringal, que teria recebido apenas 'advertência' em vez de multa por cerca de cinco meses."
2124-DEN-005,Denúncia,,2022,57ª Sessão Ordinária da 18ª Legislatura,2022-05-16,Anderson Marcos Viana,"Vereador relata risco de acidente por poste de madeira apodrecido, sustentado apenas por fios e galhos de árvore, próximo ao Salão Comunitário do Jardim Alvorada, em área com muitas crianças; pedido de troca já havia sido feito há mais de um ano e não foi atendido.",Setor de obras/empresa de energia elétrica,Feita/cobrada pelo vereador,,,Pendente de Verificação,
2124-IND-026,Indicação,036,2022,58ª Sessão Ordinária da 18ª Legislatura,2022-05-23,Anderson Marcos Viana,"Solicita dois caminhões de areia para cobrir as quadras do Parque Ecológico, pois a pouca areia existente vem causando lesões em praticantes de esporte ao entrarem em contato com as pedras do solo.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 23/05/2022, um dia antes da data do nome do arquivo (2022-05-24). Usada a data do texto."
2124-IND-027,Indicação,037,2022,58ª Sessão Ordinária da 18ª Legislatura,2022-05-23,"Anderson Marcos Viana, Elio Furini Neto, Paulo Sérgio Cordeiro, Teresinha de Lourdes Freitas Regodanço, Valdir Aparecido de Oliveira","Solicita divulgação, via mídias sociais do Executivo e carro de som, da Lei Municipal nº 3.507, que institui o colar de girassol como símbolo de identificação de pessoas com deficiências ocultas, visando conscientizar munícipes e estabelecimentos comerciais.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 23/05/2022, um dia antes da data do nome do arquivo (2022-05-24). Usada a data do texto."
2124-IND-028,Indicação,038,2022,58ª Sessão Ordinária da 18ª Legislatura,2022-05-23,"Anderson Marcos Viana, Elio Furini Neto, Paulo Sérgio Cordeiro, Teresinha de Lourdes Freitas Regodanço, Valdir Aparecido de Oliveira","Solicita disponibilização de ônibus nos períodos da manhã e da noite, em época de frio, para alunos que residem a menos de 1.500 metros da escola (grupo atualmente sem direito ao transporte escolar), em razão do risco de adoecimento pelo deslocamento a pé nas baixas temperaturas.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 23/05/2022, um dia antes da data do nome do arquivo (2022-05-24). Usada a data do texto."
2124-IND-029,Indicação,039,2022,58ª Sessão Ordinária da 18ª Legislatura,2022-05-23,Anderson Marcos Viana,"Solicita implantação de mão única na Avenida Bandeirantes, no trecho de frente ao Centro de Saúde, em razão de acidentes frequentes e do grande fluxo de veículos no local.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 23/05/2022, um dia antes da data do nome do arquivo (2022-05-24). Usada a data do texto."
2124-DEN-006,Denúncia,,2022,58ª Sessão Ordinária da 18ª Legislatura,2022-05-23,Anderson Marcos Viana,"Vereador relata que leite distribuído a famílias pelo programa social do município (fabricação de 19/05, validade até 25/05) foi entregue estragado/azedo na quinta-feira anterior, deixando famílias que dependiam exclusivamente desse leite sem o produto durante o final de semana; a distribuidora alegou problema em máquina de fabricação.",Fornecedor/distribuidora de leite do programa social; Assistência Social,Recebida pelo vereador,,,Pendente de Verificação,Vereador relatou ter recebido fotos e questionamentos de várias mães; problema foi reconhecido e reposição foi feita na sessão seguinte à queixa.
2124-IND-030,Indicação,040,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Valdir Aparecido de Oliveira,"Solicita implantação de mão única na Rua São Luís, lateral ao Estádio Municipal Raphael Capelli, e a reforma ou substituição dos aparelhos da academia ao ar livre em frente ao estádio, que estão quebrados ou com peças faltando, oferecendo risco aos usuários.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 30/05/2022, um dia antes da data do nome do arquivo (2022-05-31). Usada a data do texto."
2124-IND-031,Indicação,041,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Valdir Aparecido de Oliveira,"Solicita o corte das árvores secas existentes às margens da vicinal Alcides Canola, que liga a cidade ao bairro Duas Barras, atingidas por um incêndio de grandes proporções, oferecendo atualmente risco de acidentes a quem trafega pela via.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 30/05/2022, um dia antes da data do nome do arquivo (2022-05-31). Usada a data do texto."
2124-IND-032,Indicação,042,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Solicita o retorno do funcionamento dos exames de ultrassom na Santa Casa de Junqueirópolis, interrompidos havia cerca de um ano, em razão dos transtornos causados a pacientes (especialmente idosos e gestantes) que precisam se deslocar a cidades vizinhas para realizar o exame.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 30/05/2022, um dia antes da data do nome do arquivo (2022-05-31). Usada a data do texto."
2124-IND-033,Indicação,043,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Solicita funcionamento de uma pequena farmácia nos finais de semana, por 12 horas diárias, no pronto-socorro municipal, para atender a população mais carente que tem dificuldade de adquirir remédios prescritos fora do horário comercial.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 30/05/2022, um dia antes da data do nome do arquivo (2022-05-31). Usada a data do texto."
2124-IND-034,Indicação,044,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Solicita a construção de banheiro com vestiário destinado aos funcionários do pronto-socorro municipal, que atualmente utilizam o mesmo banheiro destinado aos pacientes.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 30/05/2022, um dia antes da data do nome do arquivo (2022-05-31). Usada a data do texto."
2124-IND-035,Indicação,045,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Solicita a disponibilização de um local para troca de óleo de cozinha usado por óleo novo nos ESFs 1, 3, 4, 7 e Central, e também no CRAS, como apoio a uma campanha comunitária de reaproveitamento, sem custo adicional para a administração.",,,,,Pendente de Análise,"Data da sessão conforme texto do expediente é 30/05/2022, um dia antes da data do nome do arquivo (2022-05-31). Usada a data do texto."
2124-DEN-007,Denúncia,,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Vereador denuncia que os exames de ultrassom, antes realizados na Santa Casa (o aparelho pertencia a um médico particular em parceria com a entidade), foram suspensos há cerca de um ano sem qualquer explicação ou comunicado formal aos vereadores ou à população, obrigando pacientes, especialmente idosos e gestantes, a se deslocarem a outras cidades.",Santa Casa de Misericórdia de Junqueirópolis / Secretaria de Saúde,Feita/cobrada pelo vereador,,,Pendente de Verificação,
2124-DEN-008,Denúncia,,2022,59ª Sessão Ordinária da 18ª Legislatura,2022-05-30,Anderson Marcos Viana,"Vereador relata que, há cerca de um ano, os funcionários do pronto-socorro municipal precisam usar o mesmo banheiro destinado aos pacientes (não há vestiário/banheiro próprio), situação constrangedora tanto para os trabalhadores quanto para os pacientes, que ficam sem acesso a um dos dois banheiros antes disponíveis.",Secretaria de Saúde,Feita/cobrada pelo vereador,,,Pendente de Verificação,
